model_name,accuracy,precision,recall,f1,pr_auc,timestamp
Dummy,0.8363888888888888,0.0,0.0,0.0,0.1636111111111111,2026-04-23T15:41:49.483676
LR_default,0.8541666666666666,0.7135079365079365,0.19521946979574098,0.30316341610873504,0.4656128557125611,2026-04-23T15:41:49.483676
LR_balanced,0.7074999999999999,0.3209128222592047,0.7028103723018977,0.44042035853671696,0.462957020361417,2026-04-23T15:41:49.483676
SVM_default,0.8502777777777778,0.7203889829976786,0.13581051716644937,0.22636238935836425,0.4593846186045232,2026-04-23T15:41:49.483676
SVM_balanced,0.7230555555555556,0.33882059146667,0.724931189337969,0.4616552121319938,0.45309079006928765,2026-04-23T15:41:49.483676
DT_depth5,0.8572222222222221,0.6444470755480157,0.28518035636679706,0.393518687643423,0.44962751903135667,2026-04-23T15:41:49.483676
RF_default,0.861111111111111,0.7340649001536097,0.23940315804722584,0.3592566475880867,0.5136815308797279,2026-04-23T15:41:49.483676
RF_balanced,0.8086111111111112,0.4267157817328897,0.4720121686223382,0.44751253482942055,0.47073172876775093,2026-04-23T15:41:49.483676
XGB_default,0.8438888888888888,0.5403670148393561,0.3243082717658988,0.40484112125018,0.46620964409323096,2026-04-23T15:41:49.483676
XGB_balanced,0.8152777777777779,0.43865910074899694,0.44994929740692446,0.44360235941341947,0.4592174844804237,2026-04-23T15:41:49.483676
